бүс,огноо,үнэ
Баянхонгор,2024-03-04,9000.0
Булган,2024-03-04,4500.0
Говь-Алтай,2024-03-04,7000.0
Говьсүмбэр,2024-03-04,4000.0
Дархан-Уул,2024-03-04,4000.0
Дорноговь,2024-03-04,4500.0
Дорнод,2024-03-04,5485.0
Дундговь,2024-03-04,6000.0
Завхан,2024-03-04,7000.0
Орхон,2024-03-04,4500.0
Сэлэнгэ,2024-03-04,4000.0
Сүхбаатар,2024-03-04,4800.0
Төв,2024-03-04,4000.0
Увс,2024-03-04,5333.0
Ховд,2024-03-04,5000.0
Хэнтий,2024-03-04,5000.0
Хөвсгөл,2024-03-04,5500.0
Өвөрхангай,2024-03-04,6000.0
Өмнөговь,2024-03-04,6000.0
Архангай,2024-03-11,8000.0
Баян-Өлгий,2024-03-11,4267.0
Баянхонгор,2024-03-11,8500.0
Булган,2024-03-11,4500.0
Говь-Алтай,2024-03-11,7000.0
Говьсүмбэр,2024-03-11,4000.0
Дархан-Уул,2024-03-11,4000.0
Дорноговь,2024-03-11,4500.0
Дорнод,2024-03-11,5485.0
Дундговь,2024-03-11,6000.0
Завхан,2024-03-11,6000.0
Орхон,2024-03-11,4500.0
Сэлэнгэ,2024-03-11,4000.0
Сүхбаатар,2024-03-11,4800.0
Төв,2024-03-11,4000.0
Увс,2024-03-11,5500.0
Ховд,2024-03-11,5000.0
Хэнтий,2024-03-11,5000.0
Хөвсгөл,2024-03-11,5500.0
Өвөрхангай,2024-03-11,6000.0
Өмнөговь,2024-03-11,6000.0
Архангай,2024-03-18,8000.0
Баян-Өлгий,2024-03-18,4267.0
Баянхонгор,2024-03-18,8500.0
Булган,2024-03-18,4500.0
Говь-Алтай,2024-03-18,7000.0
Говьсүмбэр,2024-03-18,4000.0
Дархан-Уул,2024-03-18,4000.0
Дорноговь,2024-03-18,4500.0
Дорнод,2024-03-18,5161.0
Дундговь,2024-03-18,6000.0
Завхан,2024-03-18,6000.0
Орхон,2024-03-18,4500.0
Сэлэнгэ,2024-03-18,4000.0
Сүхбаатар,2024-03-18,4800.0
Төв,2024-03-18,4000.0
Увс,2024-03-18,5500.0
Ховд,2024-03-18,5000.0
Хэнтий,2024-03-18,5000.0
Хөвсгөл,2024-03-18,5500.0
Өвөрхангай,2024-03-18,6000.0
Өмнөговь,2024-03-18,6000.0
Архангай,2024-03-25,8000.0
Баян-Өлгий,2024-03-25,4267.0
Баянхонгор,2024-03-25,8000.0
Булган,2024-03-25,4500.0
Говь-Алтай,2024-03-25,7000.0
Говьсүмбэр,2024-03-25,4000.0
Дархан-Уул,2024-03-25,4000.0
Дорноговь,2024-03-25,4500.0
Дорнод,2024-03-25,5161.0
Дундговь,2024-03-25,6000.0
Завхан,2024-03-25,6000.0
Орхон,2024-03-25,4000.0
Сэлэнгэ,2024-03-25,4000.0
Сүхбаатар,2024-03-25,4800.0
Төв,2024-03-25,4000.0
Увс,2024-03-25,5166.0
Ховд,2024-03-25,5000.0
Хэнтий,2024-03-25,5000.0
Хөвсгөл,2024-03-25,5500.0
Өвөрхангай,2024-03-25,6000.0
Өмнөговь,2024-03-25,6000.0
Баян-Өлгий,2024-04-01,4267.0
Баянхонгор,2024-04-01,8000.0
Булган,2024-04-01,4500.0
Говь-Алтай,2024-04-01,7000.0
Дархан-Уул,2024-04-01,4000.0
Дорноговь,2024-04-01,4500.0
Дорнод,2024-04-01,5161.0
Дундговь,2024-04-01,6000.0
Завхан,2024-04-01,7000.0
Орхон,2024-04-01,4000.0
Сэлэнгэ,2024-04-01,4000.0
Сүхбаатар,2024-04-01,4800.0
Төв,2024-04-01,4000.0
Увс,2024-04-01,5000.0
Ховд,2024-04-01,5000.0
Хэнтий,2024-04-01,5500.0
Хөвсгөл,2024-04-01,5000.0
Өвөрхангай,2024-04-01,6000.0
Өмнөговь,2024-04-01,6000.0
Баян-Өлгий,2024-04-08,4433.0
Баянхонгор,2024-04-08,8500.0
Булган,2024-04-08,4500.0
Говь-Алтай,2024-04-08,7000.0
Дархан-Уул,2024-04-08,4000.0
Дорноговь,2024-04-08,4500.0
Дорнод,2024-04-08,5161.0
Дундговь,2024-04-08,6000.0
Завхан,2024-04-08,7000.0
Орхон,2024-04-08,4000.0
Сэлэнгэ,2024-04-08,4000.0
Сүхбаатар,2024-04-08,4800.0
Төв,2024-04-08,4000.0
Увс,2024-04-08,5000.0
Ховд,2024-04-08,5000.0
Хэнтий,2024-04-08,6000.0
Хөвсгөл,2024-04-08,5000.0
Өвөрхангай,2024-04-08,6000.0
Өмнөговь,2024-04-08,6000.0
Баян-Өлгий,2024-04-15,4267.0
Баянхонгор,2024-04-15,9000.0
Булган,2024-04-15,4500.0
Говь-Алтай,2024-04-15,7000.0
Дархан-Уул,2024-04-15,4000.0
Дорноговь,2024-04-15,4500.0
Дорнод,2024-04-15,5161.0
Дундговь,2024-04-15,6000.0
Завхан,2024-04-15,7000.0
Орхон,2024-04-15,4000.0
Сэлэнгэ,2024-04-15,3800.0
Сүхбаатар,2024-04-15,4500.0
Төв,2024-04-15,3500.0
Увс,2024-04-15,5000.0
Ховд,2024-04-15,5000.0
Хэнтий,2024-04-15,6000.0
Хөвсгөл,2024-04-15,5000.0
Өвөрхангай,2024-04-15,6000.0
Өмнөговь,2024-04-15,6000.0
Архангай,2024-04-22,6000.0
Баян-Өлгий,2024-04-22,4267.0
Баянхонгор,2024-04-22,9000.0
Булган,2024-04-22,4500.0
Говь-Алтай,2024-04-22,7000.0
Дархан-Уул,2024-04-22,4000.0
Дорноговь,2024-04-22,4500.0
Дорнод,2024-04-22,4827.0
Дундговь,2024-04-22,6000.0
Завхан,2024-04-22,7000.0
Орхон,2024-04-22,4000.0
Сэлэнгэ,2024-04-22,3800.0
Сүхбаатар,2024-04-22,4500.0
Төв,2024-04-22,3500.0
Увс,2024-04-22,5000.0
Ховд,2024-04-22,5000.0
Хэнтий,2024-04-22,6000.0
Хөвсгөл,2024-04-22,5000.0
Өвөрхангай,2024-04-22,5833.0
Өмнөговь,2024-04-22,6000.0
Архангай,2024-04-29,6000.0
Баян-Өлгий,2024-04-29,4267.0
Баянхонгор,2024-04-29,9000.0
Булган,2024-04-29,4500.0
Говь-Алтай,2024-04-29,7000.0
Дархан-Уул,2024-04-29,3833.0
Дорноговь,2024-04-29,4500.0
Дорнод,2024-04-29,5648.0
Дундговь,2024-04-29,6000.0
Завхан,2024-04-29,6500.0
Орхон,2024-04-29,4000.0
Сэлэнгэ,2024-04-29,3500.0
Сүхбаатар,2024-04-29,4500.0
Төв,2024-04-29,4000.0
Увс,2024-04-29,4750.0
Ховд,2024-04-29,4500.0
Хэнтий,2024-04-29,6000.0
Хөвсгөл,2024-04-29,5000.0
Өвөрхангай,2024-04-29,5833.0
Өмнөговь,2024-04-29,6000.0
Архангай,2024-05-06,5000.0
Баян-Өлгий,2024-05-06,4267.0
Баянхонгор,2024-05-06,9000.0
Булган,2024-05-06,4500.0
Говь-Алтай,2024-05-06,7000.0
Говьсүмбэр,2024-05-06,6000.0
Дархан-Уул,2024-05-06,3500.0
Дорноговь,2024-05-06,4500.0
Дорнод,2024-05-06,4500.0
Дундговь,2024-05-06,6000.0
Завхан,2024-05-06,6500.0
Орхон,2024-05-06,4000.0
Сэлэнгэ,2024-05-06,3500.0
Сүхбаатар,2024-05-06,4500.0
Төв,2024-05-06,4000.0
Увс,2024-05-06,4750.0
Ховд,2024-05-06,5000.0
Хэнтий,2024-05-06,5500.0
Хөвсгөл,2024-05-06,5000.0
Өвөрхангай,2024-05-06,5833.0
Өмнөговь,2024-05-06,6000.0
Архангай,2024-05-13,5000.0
Баян-Өлгий,2024-05-13,3900.0
Баянхонгор,2024-05-13,8000.0
Булган,2024-05-13,4500.0
Говь-Алтай,2024-05-13,5000.0
Говьсүмбэр,2024-05-13,5500.0
Дархан-Уул,2024-05-13,3000.0
Дорноговь,2024-05-13,4500.0
Дорнод,2024-05-13,4000.0
Дундговь,2024-05-13,6000.0
Завхан,2024-05-13,6000.0
Орхон,2024-05-13,4000.0
Сэлэнгэ,2024-05-13,3700.0
Сүхбаатар,2024-05-13,4500.0
Төв,2024-05-13,3250.0
Увс,2024-05-13,3500.0
Ховд,2024-05-13,4000.0
Хэнтий,2024-05-13,5000.0
Хөвсгөл,2024-05-13,5000.0
Өвөрхангай,2024-05-13,5667.0
Өмнөговь,2024-05-13,6000.0
Архангай,2024-05-20,5000.0
Баян-Өлгий,2024-05-20,3733.0
Баянхонгор,2024-05-20,8000.0
Булган,2024-05-20,3500.0
Говь-Алтай,2024-05-20,5000.0
Говьсүмбэр,2024-05-20,5000.0
Дархан-Уул,2024-05-20,2667.0
Дорноговь,2024-05-20,4750.0
Дорнод,2024-05-20,4000.0
Дундговь,2024-05-20,5000.0
Завхан,2024-05-20,5000.0
Орхон,2024-05-20,3000.0
Сэлэнгэ,2024-05-20,3700.0
Сүхбаатар,2024-05-20,4500.0
Төв,2024-05-20,3000.0
Увс,2024-05-20,4000.0
Ховд,2024-05-20,4000.0
Хэнтий,2024-05-20,5000.0
Хөвсгөл,2024-05-20,5000.0
Өвөрхангай,2024-05-20,5667.0
Өмнөговь,2024-05-20,6000.0
Архангай,2024-05-27,5000.0
Баян-Өлгий,2024-05-27,3733.0
Баянхонгор,2024-05-27,7000.0
Булган,2024-05-27,3000.0
Говь-Алтай,2024-05-27,3500.0
Говьсүмбэр,2024-05-27,5000.0
Дархан-Уул,2024-05-27,2500.0
Дорноговь,2024-05-27,4750.0
Дорнод,2024-05-27,3000.0
Дундговь,2024-05-27,5000.0
Завхан,2024-05-27,5000.0
Орхон,2024-05-27,3000.0
Сэлэнгэ,2024-05-27,2000.0
Сүхбаатар,2024-05-27,4000.0
Төв,2024-05-27,3000.0
Увс,2024-05-27,3500.0
Ховд,2024-05-27,4000.0
Хэнтий,2024-05-27,4500.0
Хөвсгөл,2024-05-27,5000.0
Өвөрхангай,2024-05-27,5500.0
Өмнөговь,2024-05-27,6000.0
Архангай,2024-06-03,4500.0
Баян-Өлгий,2024-06-03,3450.0
Баянхонгор,2024-06-03,6000.0
Булган,2024-06-03,2500.0
Говь-Алтай,2024-06-03,3500.0
Говьсүмбэр,2024-06-03,5000.0
Дархан-Уул,2024-06-03,2333.0
Дорноговь,2024-06-03,4750.0
Дорнод,2024-06-03,3000.0
Дундговь,2024-06-03,4000.0
Завхан,2024-06-03,4000.0
Орхон,2024-06-03,2500.0
Сэлэнгэ,2024-06-03,2200.0
Сүхбаатар,2024-06-03,4000.0
Төв,2024-06-03,2800.0
Увс,2024-06-03,3333.0
Ховд,2024-06-03,3500.0
Хэнтий,2024-06-03,4000.0
Хөвсгөл,2024-06-03,4000.0
Өвөрхангай,2024-06-03,5500.0
Өмнөговь,2024-06-03,6000.0
Архангай,2024-06-10,4500.0
Баян-Өлгий,2024-06-10,3450.0
Баянхонгор,2024-06-10,5000.0
Булган,2024-06-10,2500.0
Говь-Алтай,2024-06-10,3500.0
Говьсүмбэр,2024-06-10,5000.0
Дархан-Уул,2024-06-10,2333.0
Дорноговь,2024-06-10,4750.0
Дорнод,2024-06-10,3000.0
Дундговь,2024-06-10,4000.0
Завхан,2024-06-10,4000.0
Орхон,2024-06-10,2500.0
Сэлэнгэ,2024-06-10,2000.0
Сүхбаатар,2024-06-10,3500.0
Төв,2024-06-10,2500.0
Увс,2024-06-10,3333.0
Ховд,2024-06-10,3500.0
Хэнтий,2024-06-10,3500.0
Хөвсгөл,2024-06-10,4000.0
Өвөрхангай,2024-06-10,5000.0
Өмнөговь,2024-06-10,6000.0
Архангай,2024-06-17,4000.0
Баян-Өлгий,2024-06-17,3433.0
Баянхонгор,2024-06-17,5000.0
Булган,2024-06-17,2500.0
Говь-Алтай,2024-06-17,3500.0
Говьсүмбэр,2024-06-17,4500.0
Дархан-Уул,2024-06-17,2500.0
Дорноговь,2024-06-17,4750.0
Дорнод,2024-06-17,3000.0
Дундговь,2024-06-17,4000.0
Завхан,2024-06-17,4000.0
Орхон,2024-06-17,2500.0
Сэлэнгэ,2024-06-17,2000.0
Сүхбаатар,2024-06-17,3500.0
Төв,2024-06-17,2500.0
Увс,2024-06-17,3333.0
Ховд,2024-06-17,3000.0
Хэнтий,2024-06-17,3240.0
Хөвсгөл,2024-06-17,3500.0
Өвөрхангай,2024-06-17,4500.0
Өмнөговь,2024-06-17,6000.0
Архангай,2024-06-24,4000.0
Баян-Өлгий,2024-06-24,3433.0
Баянхонгор,2024-06-24,5000.0
Булган,2024-06-24,2500.0
Говь-Алтай,2024-06-24,3500.0
Говьсүмбэр,2024-06-24,4500.0
Дархан-Уул,2024-06-24,2500.0
Дорноговь,2024-06-24,4750.0
Дорнод,2024-06-24,2500.0
Дундговь,2024-06-24,4000.0
Завхан,2024-06-24,4000.0
Орхон,2024-06-24,2500.0
Сэлэнгэ,2024-06-24,2000.0
Сүхбаатар,2024-06-24,3500.0
Төв,2024-06-24,2500.0
Увс,2024-06-24,2666.0
Ховд,2024-06-24,3000.0
Хэнтий,2024-06-24,3240.0
Хөвсгөл,2024-06-24,3500.0
Өвөрхангай,2024-06-24,4500.0
Өмнөговь,2024-06-24,6000.0
Архангай,2024-07-01,4000.0
Баян-Өлгий,2024-07-01,3650.0
Баянхонгор,2024-07-01,5000.0
Булган,2024-07-01,2000.0
Говь-Алтай,2024-07-01,3500.0
Говьсүмбэр,2024-07-01,4000.0
Дархан-Уул,2024-07-01,2333.0
Дорноговь,2024-07-01,4750.0
Дорнод,2024-07-01,2500.0
Дундговь,2024-07-01,4000.0
Завхан,2024-07-01,4000.0
Орхон,2024-07-01,2500.0
Сэлэнгэ,2024-07-01,2000.0
Сүхбаатар,2024-07-01,3250.0
Төв,2024-07-01,2500.0
Увс,2024-07-01,2500.0
Ховд,2024-07-01,3000.0
Хэнтий,2024-07-01,3240.0
Хөвсгөл,2024-07-01,3500.0
Өвөрхангай,2024-07-01,4500.0
Өмнөговь,2024-07-01,6000.0
Архангай,2024-07-08,4000.0
Баян-Өлгий,2024-07-08,3650.0
Баянхонгор,2024-07-08,5000.0
Булган,2024-07-08,2500.0
Говь-Алтай,2024-07-08,3500.0
Говьсүмбэр,2024-07-08,4000.0
Дархан-Уул,2024-07-08,2000.0
Дорноговь,2024-07-08,4750.0
Дорнод,2024-07-08,3000.0
Дундговь,2024-07-08,4000.0
Завхан,2024-07-08,4000.0
Орхон,2024-07-08,2500.0
Сэлэнгэ,2024-07-08,2000.0
Сүхбаатар,2024-07-08,3250.0
Төв,2024-07-08,2500.0
Увс,2024-07-08,2500.0
Ховд,2024-07-08,3000.0
Хэнтий,2024-07-08,3000.0
Хөвсгөл,2024-07-08,3500.0
Өвөрхангай,2024-07-08,4500.0
Өмнөговь,2024-07-08,6000.0
Архангай,2024-07-22,4000.0
Баян-Өлгий,2024-07-22,3650.0
Баянхонгор,2024-07-22,5000.0
Булган,2024-07-22,2500.0
Говь-Алтай,2024-07-22,3500.0
Говьсүмбэр,2024-07-22,4000.0
Дархан-Уул,2024-07-22,2000.0
Дорноговь,2024-07-22,4750.0
Дорнод,2024-07-22,3000.0
Дундговь,2024-07-22,4000.0
Завхан,2024-07-22,3500.0
Орхон,2024-07-22,2500.0
Сэлэнгэ,2024-07-22,1800.0
Сүхбаатар,2024-07-22,2500.0
Төв,2024-07-22,2200.0
Увс,2024-07-22,2500.0
Ховд,2024-07-22,3500.0
Хэнтий,2024-07-22,3000.0
Хөвсгөл,2024-07-22,3240.0
Өвөрхангай,2024-07-22,4000.0
Өмнөговь,2024-07-22,6000.0
Архангай,2024-07-29,4500.0
Баян-Өлгий,2024-07-29,3671.0
Баянхонгор,2024-07-29,5000.0
Булган,2024-07-29,2500.0
Говь-Алтай,2024-07-29,3500.0
Говьсүмбэр,2024-07-29,4000.0
Дархан-Уул,2024-07-29,2100.0
Дорноговь,2024-07-29,4750.0
Дорнод,2024-07-29,3000.0
Дундговь,2024-07-29,4000.0
Завхан,2024-07-29,3500.0
Орхон,2024-07-29,2500.0
Сэлэнгэ,2024-07-29,1800.0
Сүхбаатар,2024-07-29,2500.0
Төв,2024-07-29,2200.0
Увс,2024-07-29,2500.0
Ховд,2024-07-29,3800.0
Хэнтий,2024-07-29,3000.0
Хөвсгөл,2024-07-29,4000.0
Өвөрхангай,2024-07-29,4000.0
Өмнөговь,2024-07-29,6000.0
Архангай,2024-08-05,4500.0
Баян-Өлгий,2024-08-05,3671.0
Баянхонгор,2024-08-05,5000.0
Булган,2024-08-05,2500.0
Говь-Алтай,2024-08-05,3500.0
Говьсүмбэр,2024-08-05,4000.0
Дархан-Уул,2024-08-05,2100.0
Дорноговь,2024-08-05,4750.0
Дорнод,2024-08-05,3000.0
Дундговь,2024-08-05,4000.0
Завхан,2024-08-05,3500.0
Орхон,2024-08-05,2500.0
Сүхбаатар,2024-08-05,2500.0
Төв,2024-08-05,2200.0
Увс,2024-08-05,2750.0
Ховд,2024-08-05,4000.0
Хэнтий,2024-08-05,3000.0
Хөвсгөл,2024-08-05,4000.0
Өвөрхангай,2024-08-05,4000.0
Өмнөговь,2024-08-05,6000.0
Архангай,2024-08-12,4500.0
Баян-Өлгий,2024-08-12,3933.0
Баянхонгор,2024-08-12,5000.0
Булган,2024-08-12,2500.0
Говь-Алтай,2024-08-12,4000.0
Говьсүмбэр,2024-08-12,4000.0
Дархан-Уул,2024-08-12,2100.0
Дорноговь,2024-08-12,4500.0
Дорнод,2024-08-12,3000.0
Дундговь,2024-08-12,4000.0
Завхан,2024-08-12,3500.0
Орхон,2024-08-12,2500.0
Сэлэнгэ,2024-08-12,1800.0
Сүхбаатар,2024-08-12,2500.0
Төв,2024-08-12,2200.0
Увс,2024-08-12,2750.0
Ховд,2024-08-12,4000.0
Хэнтий,2024-08-12,3000.0
Хөвсгөл,2024-08-12,4000.0
Өвөрхангай,2024-08-12,4000.0
Өмнөговь,2024-08-12,6000.0
Архангай,2024-08-19,4500.0
Баян-Өлгий,2024-08-19,3900.0
Баянхонгор,2024-08-19,5000.0
Булган,2024-08-19,2500.0
Говь-Алтай,2024-08-19,4000.0
Говьсүмбэр,2024-08-19,4000.0
Дархан-Уул,2024-08-19,2100.0
Дорноговь,2024-08-19,4250.0
Дорнод,2024-08-19,2898.0
Дундговь,2024-08-19,4000.0
Завхан,2024-08-19,3500.0
Орхон,2024-08-19,2500.0
Сэлэнгэ,2024-08-19,1800.0
Сүхбаатар,2024-08-19,2500.0
Төв,2024-08-19,2200.0
Увс,2024-08-19,4500.0
Ховд,2024-08-19,4000.0
Хэнтий,2024-08-19,3000.0
Хөвсгөл,2024-08-19,4000.0
Өвөрхангай,2024-08-19,3833.0
Өмнөговь,2024-08-19,6000.0
Архангай,2024-08-26,5000.0
Баян-Өлгий,2024-08-26,4150.0
Баянхонгор,2024-08-26,5000.0
Булган,2024-08-26,2500.0
Говь-Алтай,2024-08-26,4000.0
Говьсүмбэр,2024-08-26,4000.0
Дархан-Уул,2024-08-26,2100.0
Дорноговь,2024-08-26,4250.0
Дорнод,2024-08-26,2898.0
Дундговь,2024-08-26,4000.0
Завхан,2024-08-26,3500.0
Орхон,2024-08-26,2500.0
Сэлэнгэ,2024-08-26,1800.0
Сүхбаатар,2024-08-26,2500.0
Төв,2024-08-26,2200.0
Увс,2024-08-26,2500.0
Ховд,2024-08-26,4500.0
Хэнтий,2024-08-26,3000.0
Хөвсгөл,2024-08-26,4000.0
Өвөрхангай,2024-08-26,3833.0
Өмнөговь,2024-08-26,6000.0
Архангай,2024-09-02,4500.0
Баян-Өлгий,2024-09-02,4000.0
Баянхонгор,2024-09-02,5000.0
Булган,2024-09-02,2500.0
Говь-Алтай,2024-09-02,4000.0
Говьсүмбэр,2024-09-02,4000.0
Дархан-Уул,2024-09-02,2100.0
Дорноговь,2024-09-02,4250.0
Дорнод,2024-09-02,2898.0
Дундговь,2024-09-02,4000.0
Завхан,2024-09-02,3500.0
Орхон,2024-09-02,2000.0
Сэлэнгэ,2024-09-02,1500.0
Сүхбаатар,2024-09-02,2500.0
Төв,2024-09-02,2500.0
Увс,2024-09-02,2833.0
Ховд,2024-09-02,4500.0
Хэнтий,2024-09-02,3000.0
Хөвсгөл,2024-09-02,3500.0
Өвөрхангай,2024-09-02,4000.0
Өмнөговь,2024-09-02,5000.0
Архангай,2024-09-09,4500.0
Баян-Өлгий,2024-09-09,4175.0
Баянхонгор,2024-09-09,5000.0
Булган,2024-09-09,2500.0
Говь-Алтай,2024-09-09,4500.0
Говьсүмбэр,2024-09-09,4000.0
Дархан-Уул,2024-09-09,2100.0
Дорноговь,2024-09-09,4250.0
Дорнод,2024-09-09,2898.0
Дундговь,2024-09-09,4000.0
Завхан,2024-09-09,4000.0
Орхон,2024-09-09,2000.0
Сэлэнгэ,2024-09-09,1500.0
Сүхбаатар,2024-09-09,3000.0
Төв,2024-09-09,2500.0
Увс,2024-09-09,2833.0
Ховд,2024-09-09,4500.0
Хэнтий,2024-09-09,3000.0
Хөвсгөл,2024-09-09,4000.0
Өвөрхангай,2024-09-09,4000.0
Өмнөговь,2024-09-09,5000.0
Архангай,2024-09-16,5000.0
Баян-Өлгий,2024-09-16,4125.0
Баянхонгор,2024-09-16,5000.0
Булган,2024-09-16,2500.0
Говь-Алтай,2024-09-16,5000.0
Говьсүмбэр,2024-09-16,4000.0
